date,rt,RV,delta_alpha_T252
2020-08-13,1.754277,1.874728,0.533075
2020-08-14,-0.086987,1.606958,0.598521
2020-08-17,-0.261415,1.093295,0.658643
2020-08-18,0.825482,2.131261,0.684906
2020-08-19,0.129719,0.824478,0.658677
2020-08-20,2.196763,0.817825,0.600402
2020-08-21,5.020630,3.194664,0.569911
2020-08-24,1.190918,8.870370,0.525358
2020-08-25,-0.821737,2.062325,0.549697
2020-08-26,1.344759,1.593933,0.570218
2020-08-27,-1.200666,2.339881,0.638018
2020-08-28,-0.160115,2.267676,0.672660
2020-08-31,3.332985,6.204313,0.582279
2020-09-01,3.905975,2.966240,0.519320
2020-09-02,-2.093608,33.327190,0.487836
2020-09-03,-8.344779,19.171511,0.526503
2020-09-04,0.066159,47.516776,0.541142
2020-09-08,-6.966628,12.194656,0.537500
2020-09-09,3.911162,8.169644,0.524295
2020-09-10,-3.319052,10.133497,0.469421
2020-09-11,-1.321586,10.266323,0.483032
2020-09-14,2.955880,4.224476,0.539614
2020-09-15,0.155912,7.186209,0.603287
2020-09-16,-2.995788,2.880516,0.631723
2020-09-17,-1.609240,6.227310,0.759314
2020-09-18,-3.223412,6.364998,0.663793
2020-09-21,2.987499,8.363641,0.468375
2020-09-22,1.559363,5.744244,0.599194
2020-09-23,-4.285130,5.368395,0.514701
2020-09-24,1.021649,8.523763,0.595910
2020-09-25,3.682956,3.360285,0.580703
2020-09-28,2.358849,2.584779,0.500455
2020-09-29,-0.759663,1.872265,0.496038
2020-09-30,1.496331,3.273838,0.428734
2020-10-01,0.842653,1.691375,0.447949
2020-10-02,-3.281266,3.446757,0.506588
2020-10-05,3.032648,0.961787,0.471030
2020-10-06,-2.908853,5.155898,0.462443
2020-10-07,1.682479,1.036078,0.416824
2020-10-08,-0.095631,0.810408,0.440880
2020-10-09,1.724627,1.003686,0.428761
2020-10-12,6.158469,2.465955,0.484775
2020-10-13,-2.688553,10.965531,0.534448
2020-10-14,0.074291,4.825988,0.576806
2020-10-15,-0.396859,2.199992,0.499453
2020-10-16,-1.409943,1.869673,0.484986
2020-10-19,-2.587378,2.858603,0.449342
2020-10-20,1.310567,4.171585,0.527935
2020-10-21,-0.546123,2.236507,0.512494
2020-10-22,-0.962951,2.743321,0.480101
2020-10-23,-0.615280,1.223253,0.566457
2020-10-26,0.008692,2.911513,0.593127
2020-10-27,1.338246,2.096238,0.588981
2020-10-28,-4.741889,4.224114,0.538245
2020-10-29,3.638049,5.358853,0.804589
2020-10-30,-5.764822,7.031565,0.729661
2020-11-02,-0.082709,3.261905,0.662968
2020-11-03,1.523683,2.565721,0.641273
2020-11-04,4.002486,4.699860,0.501259
2020-11-05,3.487831,2.627702,0.493788
2020-11-06,-0.286051,2.425700,0.511296
2020-11-09,-2.017004,7.005133,0.471298
2020-11-10,-0.301348,6.728980,0.435062
2020-11-11,2.990115,1.675682,0.472045
2020-11-12,-0.234604,2.041445,0.474780
2020-11-13,0.041934,1.127033,0.490738
2020-11-16,0.868264,2.325361,0.509887
2020-11-17,-0.759318,1.029107,0.556524
2020-11-18,-1.145662,1.320405,0.498171
2020-11-19,0.515487,1.026171,0.461628
2020-11-20,-1.101799,0.573068,0.415904
2020-11-23,-3.019391,1.976929,0.419388
2020-11-24,1.152751,2.039777,0.434585
2020-11-25,0.743948,1.198233,0.457105
2020-11-27,0.481473,0.335984,0.457035
2020-11-30,2.088007,3.621978,0.453747
2020-12-01,3.036176,2.801907,0.437339
2020-12-02,0.292921,1.942055,0.444486
2020-12-03,-0.113812,1.161719,0.426575
2020-12-04,-0.562830,0.912202,0.427645
2020-12-07,1.219527,0.945568,0.490237
2020-12-08,0.507799,1.243502,0.539451
2020-12-09,-2.112526,4.037133,0.525338
2020-12-10,1.191754,1.788479,0.565679
2020-12-11,-0.675761,2.125313,0.613286
2020-12-14,-0.515993,1.188877,0.567711
2020-12-15,4.887619,2.133004,0.504191
2020-12-16,-0.054754,1.169059,0.545693
2020-12-17,0.693933,1.001291,0.531088
2020-12-18,-1.597778,1.157242,0.550714
2020-12-21,1.231920,3.442925,0.562436
2020-12-22,2.806689,5.397363,0.677152
2020-12-23,-0.700049,1.200033,0.556529
2020-12-24,0.768269,0.797736,0.578751
2020-12-28,3.514096,1.606792,0.608939
2020-12-29,-1.340424,2.924913,0.724368
2020-12-30,-0.856329,1.132648,0.684269
2020-12-31,-0.773248,1.338417,0.609183
2021-01-04,-2.502992,4.056078,0.584920
2021-01-05,1.228800,1.978973,0.568322
2021-01-06,-3.424115,4.196095,0.523699
2021-01-07,3.355394,1.743715,0.498306
2021-01-08,0.859419,2.750981,0.485964
2021-01-11,-2.352329,1.277511,0.517555
2021-01-12,-0.139654,1.867921,0.543467
2021-01-13,1.609646,2.048598,0.540523
2021-01-14,-1.524279,1.106280,0.505805
2021-01-15,-1.382564,2.128085,0.477100
2021-01-19,0.541241,0.888007,0.457594
2021-01-20,3.232791,1.273088,0.435513
2021-01-21,3.600240,1.628672,0.373213
2021-01-22,1.594583,2.091587,0.388353
2021-01-25,2.730763,15.226553,0.404906
2021-01-26,0.167785,2.736288,0.410709
2021-01-27,-0.771338,5.104228,0.376333
2021-01-28,-3.561186,5.986701,0.372534
2021-01-29,-3.813880,10.997345,0.368346
2021-02-01,1.638518,6.413069,0.366453
2021-02-02,0.631667,0.972583,0.421950
2021-02-03,-0.780876,1.226428,0.483109
2021-02-04,2.543166,1.224646,0.329852
2021-02-05,-0.459603,0.776859,0.328172
2021-02-08,0.109621,0.886191,0.325700
2021-02-09,-0.659536,0.775221,0.338908
2021-02-10,-0.456891,1.645110,0.271947
2021-02-11,-0.192222,0.916397,0.282612
2021-02-12,0.177449,0.669704,0.271706
2021-02-16,-1.623509,0.954341,0.294356
2021-02-17,-1.780148,1.248145,0.437881
2021-02-18,-0.867401,1.570388,0.410088
2021-02-19,0.123276,1.574911,0.380427
2021-02-22,-3.025204,1.869047,0.275939
2021-02-23,-0.111173,9.415711,0.308545
2021-02-24,-0.406035,3.330543,0.306956
2021-02-25,-3.540193,4.836763,0.263144
2021-02-26,0.222910,10.276309,0.310962
2021-03-01,5.245129,2.051843,0.465272
2021-03-02,-2.111501,1.996962,0.484457
2021-03-03,-2.476055,3.017035,0.475059
2021-03-04,-1.593824,8.598552,0.352386
2021-03-05,1.068112,5.311572,0.354683
2021-03-08,-4.256678,3.026376,0.395262
2021-03-09,3.984524,2.381768,0.427728
2021-03-10,-0.920901,2.293803,0.541642
2021-03-11,1.636806,1.617663,0.901604
2021-03-12,-0.765467,1.344897,0.952686
2021-03-15,2.416247,2.103444,0.957226
2021-03-16,1.266245,1.992800,0.828797
2021-03-17,-0.647148,2.498085,0.824475
2021-03-18,-3.449321,1.381852,0.614546
2021-03-19,-0.449028,1.838304,0.544659
2021-03-22,2.794166,0.922263,0.759411
2021-03-23,-0.691256,1.790461,1.106845
2021-03-24,-2.019605,1.410358,1.108112
2021-03-25,0.415490,2.733732,0.946674
2021-03-26,0.512822,2.212895,0.732946
2021-03-29,0.148392,1.464679,0.603794
2021-03-30,-1.235044,1.076845,0.633116
2021-03-31,1.859174,0.918582,0.844508
2021-04-01,0.693456,0.983341,0.817275
2021-04-05,2.330359,1.456781,1.012284
2021-04-06,0.245925,0.841442,1.066341
2021-04-07,1.330152,1.129917,0.957693
2021-04-08,1.905115,0.842920,0.861214
2021-04-09,2.004927,1.005153,0.830159
2021-04-12,-1.332142,1.438239,0.916489
2021-04-13,2.401591,1.501119,1.093639
2021-04-14,-1.801445,1.630143,1.061263
2021-04-15,1.853503,1.115238,1.254285
2021-04-16,-0.253108,0.658293,1.182645
2021-04-19,0.505577,1.287421,1.056342
2021-04-20,-1.291304,1.846116,0.906835
2021-04-21,0.292562,0.957559,1.040536
2021-04-22,-1.175420,1.967005,1.022024
2021-04-23,1.787774,0.657057,1.180254
2021-04-26,0.297354,0.604991,1.246886
2021-04-27,-0.245253,0.621719,1.399325
