date,rt,RV,delta_alpha_T252
2012-11-23,1.729719,0.576989,0.763827
2012-11-26,3.087558,1.940884,0.768850
2012-11-27,-0.762998,2.282224,0.665715
2012-11-28,-0.335651,2.016408,0.681055
2012-11-29,1.098650,1.763998,0.714579
2012-11-30,-0.715140,0.740001,0.806506
2012-12-03,0.191205,1.006298,0.819753
2012-12-04,-1.782750,1.838986,0.750656
2012-12-05,-6.684226,6.791235,0.722081
2012-12-06,1.547220,9.797281,0.826976
2012-12-07,-2.592162,5.509254,0.920061
2012-12-10,-0.632247,5.938208,0.954313
2012-12-11,2.195593,1.994248,0.888953
2012-12-12,-0.466443,2.075012,0.798943
2012-12-13,-1.729150,2.297110,0.673471
2012-12-14,-3.824867,3.556124,0.658932
2012-12-17,1.742015,3.997714,0.599586
2012-12-18,2.872538,2.169041,0.612184
2012-12-19,-1.425955,2.044065,0.689272
2012-12-20,-0.908369,1.808560,0.712185
2012-12-21,-0.430340,1.452961,1.017614
2012-12-24,0.161594,0.561053,1.056777
2012-12-26,-1.409237,1.068870,1.039556
2012-12-27,0.435731,1.644867,1.058434
2012-12-28,-1.092907,0.946137,0.980489
2012-12-31,4.354356,3.563909,0.849441
2013-01-02,3.107448,1.878293,0.710680
2013-01-03,-1.283056,1.049942,0.675366
2013-01-04,-2.828895,2.106767,0.582933
2013-01-07,-0.586199,4.221649,0.471392
2013-01-08,0.266880,2.082692,0.555140
2013-01-09,-1.557915,1.264868,0.797035
2013-01-10,1.237573,1.762849,0.625911
2013-01-11,-0.643779,1.055943,0.671483
2013-01-14,-3.616833,2.560920,0.637234
2013-01-15,-3.232490,2.637260,0.601865
2013-01-16,4.066060,2.390978,0.626958
2013-01-17,-0.666299,1.379028,0.655743
2013-01-18,-0.502654,0.741665,0.582410
2013-01-22,0.947346,1.388214,0.512770
2013-01-23,1.813735,1.795798,0.423201
2013-01-24,-13.197642,5.446967,0.742769
2013-01-25,-2.390051,7.393942,0.868046
2013-01-28,2.265673,3.639472,0.913671
2013-01-29,1.849621,1.779609,0.888490
2013-01-30,-0.305904,1.857807,0.780836
2013-01-31,-0.306843,0.819204,0.834364
2013-02-01,-0.431168,2.119840,0.890143
2013-02-04,-2.500130,1.769355,0.805628
